iter	RMSE
0	14.93191982
1	13.0118672
2	11.59584174
3	10.29675414
4	9.176530066
5	8.304458467
6	7.644941873
7	7.023461971
8	6.525916752
9	6.111392932
10	5.783648321
11	5.471362802
12	5.21691409
13	5.041176997
14	4.896159804
15	4.772081943
16	4.646313278
17	4.540159053
18	4.454982861
19	4.360209866
20	4.271487904
21	4.224591725
22	4.122879853
23	4.084467408
24	4.011964298
25	3.971833113
26	3.918876958
27	3.863299175
28	3.796444961
29	3.767197578
30	3.733591434
31	3.704633279
32	3.663371631
33	3.60745566
34	3.575372463
35	3.52658738
36	3.489584357
37	3.456042614
38	3.413074719
39	3.38519992
40	3.355700088
41	3.321130752
42	3.288732966
43	3.262320975
44	3.22849723
45	3.207323766
46	3.188603697
47	3.159030114
48	3.141442238
49	3.104746204
50	3.05066586
51	3.000538252
52	2.961205238
53	2.928739644
54	2.916790149
55	2.895042188
56	2.870176384
57	2.850164016
58	2.824285851
59	2.81386028
60	2.796214259
61	2.779038719
62	2.751688536
63	2.72874795
64	2.701447999
65	2.687957287
66	2.654276701
67	2.632273205
68	2.60820581
69	2.576262399
70	2.556822177
71	2.546245479
72	2.527936531
73	2.516559889
74	2.512140223
75	2.500075581
76	2.483625278
77	2.471769846
78	2.448636046
79	2.443777526
80	2.428110007
81	2.41301725
82	2.397660568
83	2.392720636
84	2.382661791
85	2.357924651
86	2.350353427
87	2.343336341
88	2.330864729
89	2.311283513
90	2.302060099
91	2.287915462
92	2.279097483
93	2.265282616
94	2.252113195
95	2.243101375
96	2.230915968
97	2.21980301
98	2.218010533
99	2.207932623
100	2.195478393
101	2.186788633
102	2.17616466
103	2.171088756
104	2.162830284
105	2.150307811
106	2.1390474
107	2.132590826
108	2.12332285
109	2.118817238
110	2.11240901
111	2.098528961
112	2.09657738
113	2.083798834
114	2.075347576
115	2.068489042
116	2.06230335
117	2.05359301
118	2.043381718
119	2.038578974
120	2.029573089
121	2.027783764
122	2.021656763
123	2.017533891
124	2.010471145
125	2.005691879
126	2.00077589
127	1.996623816
128	1.987156924
129	1.986227922
130	1.98469695
131	1.977032409
132	1.967650567
133	1.96309007
134	1.957739778
135	1.949344319
136	1.946643091
137	1.94144605
138	1.93458806
139	1.926718102
140	1.921099458
141	1.91888903
142	1.916622013
143	1.913556847
144	1.909340125
145	1.899316362
146	1.893154294
147	1.891997994
148	1.88654579
149	1.875982312
150	1.873451904
151	1.871768622
152	1.868156361
153	1.862761344
154	1.858359603
155	1.851856807
156	1.851358011
157	1.845451743
158	1.840331292
159	1.836146245
160	1.832794773
161	1.822792796
162	1.819002344
163	1.815804789
164	1.806674393
165	1.801606158
166	1.798181688
167	1.793135453
168	1.789875554
169	1.786567553
170	1.781225492
171	1.77460309
172	1.769877966
173	1.769070532
174	1.76729629
175	1.764049645
176	1.76000246
177	1.756137261
178	1.752566418
179	1.74842022
180	1.742132921
181	1.73847786
182	1.73584631
183	1.734210821
184	1.731515626
185	1.730278775
186	1.727261679
187	1.725848332
188	1.723472722
189	1.720722558
190	1.717839317
191	1.715248612
192	1.710864826
193	1.710320099
194	1.709050048
195	1.705207837
196	1.698511982
197	1.697587239
198	1.695527116
199	1.692639272
200	1.686707366
201	1.682350577
202	1.677628939
203	1.673562356
204	1.669483106
205	1.667513639
206	1.665762461
207	1.660674516
208	1.660230834
209	1.655978578
210	1.654673857
211	1.65106534
212	1.649419916
213	1.646302624
214	1.644487705
215	1.643225772
216	1.642430063
217	1.639939853
218	1.638078218
219	1.635839244
220	1.633898513
221	1.631393806
222	1.630615763
223	1.628299646
224	1.625390939
225	1.622438559
226	1.619471178
227	1.618698983
228	1.617459064
229	1.616226035
230	1.615090911
231	1.61278952
232	1.612251143
233	1.609104382
234	1.605376444
235	1.604787345
236	1.598945573
237	1.5963401
238	1.594533488
239	1.591250958
240	1.588211915
241	1.58184575
242	1.57948397
243	1.577316114
244	1.574708143
245	1.573213853
246	1.57017021
247	1.566710574
248	1.564385061
249	1.560361185
250	1.558196565
251	1.556414766
252	1.553760032
253	1.553019396
254	1.55125919
255	1.550112139
256	1.549219236
257	1.548617955
258	1.547030995
259	1.54472272
260	1.542960243
261	1.541564749
262	1.541241634
263	1.539743234
264	1.538828785
265	1.535720198
266	1.534076137
267	1.531193349
268	1.527355331
269	1.525343617
270	1.524272078
271	1.523865102
272	1.523379525
273	1.521641956
274	1.520694485
275	1.519877557
276	1.518067597
277	1.516663864
278	1.514517607
279	1.512688818
280	1.511776829
281	1.510251212
282	1.509241381
283	1.508708095
284	1.50822486
285	1.507192994
286	1.505556453
