iter	RMSE
287	1.504666568
288	1.503052055
289	1.502034358
290	1.501102826
291	1.4997026
292	1.498762441
293	1.49828263
294	1.497789726
295	1.496973224
296	1.495818032
297	1.495470183
298	1.494392904
299	1.493531984
300	1.492601401
301	1.491478942
302	1.490921658
303	1.489452628
304	1.488732732
305	1.486929004
306	1.483653828
307	1.482019092
308	1.481651536
309	1.480293526
310	1.479052392
311	1.477701956
312	1.475471412
313	1.474692586
314	1.473934459
315	1.473257052
316	1.470425122
317	1.469602738
318	1.467632563
319	1.466523853
320	1.46565679
321	1.465184192
322	1.463801659
323	1.462891639
324	1.462149152
325	1.460553869
326	1.459068671
327	1.458483374
328	1.458302457
329	1.456256551
330	1.455263657
331	1.454368382
332	1.453793967
333	1.452778759
334	1.452059097
335	1.450962653
336	1.449754273
337	1.449362187
338	1.448869796
339	1.447932535
340	1.447082032
341	1.445447053
342	1.443584133
343	1.443388295
344	1.442979345
345	1.4420053
346	1.441142328
347	1.440763288
348	1.439867012
349	1.439771791
350	1.439417077
351	1.438881275
352	1.43805129
353	1.43688497
354	1.435841996
355	1.434437592
356	1.431703182
357	1.431600055
358	1.431132886
359	1.429588981
360	1.42921217
361	1.428124122
362	1.427387133
363	1.425781888
364	1.424254191
365	1.422498564
366	1.421185041
367	1.420686217
368	1.420339235
369	1.419580386
370	1.418948187
371	1.418261529
372	1.41805212
373	1.417250834
374	1.41628783
375	1.414450323
376	1.413874827
377	1.413328113
378	1.412339376
379	1.412066009
380	1.411124672
381	1.409826059
382	1.40959644
383	1.408628434
384	1.406966833
385	1.406110587
386	1.40543121
387	1.40487579
388	1.404277572
389	1.404013588
390	1.402818807
391	1.402419309
392	1.401935667
393	1.401299108
394	1.400513661
395	1.399492457
396	1.39846105
397	1.397296404
398	1.396533309
399	1.39617572
400	1.395746897
401	1.395187041
402	1.395020902
403	1.394523761
404	1.394343723
405	1.394155257
406	1.39326178
407	1.393149284
408	1.392624316
409	1.392270136
410	1.391593682
411	1.391008329
412	1.390515698
413	1.39021093
414	1.389641939
415	1.389088621
416	1.388642668
417	1.388299099
418	1.387845389
419	1.387462159
420	1.386961096
421	1.386866666
422	1.386810944
423	1.386075746
424	1.385921651
425	1.385069191
426	1.38322177
427	1.382890896
428	1.38251458
429	1.382181378
430	1.382176793
431	1.381962572
432	1.381958108
433	1.38177361
434	1.381547158
435	1.380977287
436	1.380732454
437	1.380068793
438	1.379222495
439	1.379091602
440	1.378769315
441	1.378310787
442	1.377911389
443	1.377803491
444	1.377142523
445	1.375915101
446	1.375847303
447	1.375495004
448	1.374656205
449	1.374563671
450	1.374388118
451	1.374369478
452	1.373143215
453	1.372543763
454	1.372108378
455	1.371300634
456	1.371164623
457	1.370695143
458	1.369614985
459	1.368810429
460	1.368385147
461	1.368378248
462	1.368231971
463	1.367815425
464	1.367227773
465	1.367131727
466	1.366922018
467	1.366793205
468	1.366523528
469	1.36554865
470	1.365529182
471	1.365367998
472	1.365120096
473	1.36422662
474	1.363658573
475	1.363549108
476	1.363379975
477	1.363052807
478	1.362870203
479	1.362211529
480	1.361901561
481	1.361652851
482	1.361103927
483	1.360530194
484	1.359291423
485	1.359180146
486	1.358944632
487	1.358347958
488	1.358293921
489	1.35764565
490	1.357621121
491	1.356887005
492	1.35663878
493	1.356363632
494	1.356302418
495	1.356239921
496	1.355870978
497	1.355583205
498	1.355293664
499	1.355136875
